REG,PRV,MUN,BGY,EA,MUNICIPALITY,BARANGAY,No. of Households,No. of Housing Units,PSU,STR,RPL
01,28,09,004,000,DINGRAS,Parado (Bangay),16,17,00055,21231,4
01,28,12,059,000,LAOAG CITY (Capital),Bgy. No. 12 San Isidro (Pob.),13,16,00092,21102,4
01,28,15,004,000,PAGUDPUD,Balaoi,19,20,00099,22223,4
01,28,16,004,000,PAOAY,Callaguip,17,17,00107,22112,4
01,28,23,001,000,VINTAR,Abkir,18,18,00160,21307,5
01,29,03,030,000,BANTAY,Barangay 1 (Pob.),1,1,00169,21137,4
01,29,03,032,000,BANTAY,Barangay 3 (Pob.),17,17,00169,21137,4
01,29,04,015,000,BURGOS,Mambug,20,20,00181,21214,4
01,29,20,003,000,SAN JUAN (LAPOG),Bannuar (Pob.),16,17,00268,22132,4
01,29,24,021,000,SANTA CRUZ,Las-ud,17,17,00289,21341,4
01,29,24,044,000,SANTA CRUZ,Suyo,3,3,00289,21341,4
01,29,30,021,000,SINAIT,Magsaysay,2,2,00330,22213,4
01,29,30,026,000,SINAIT,Nagongburan,17,17,00330,22213,4
01,29,30,037,000,SINAIT,Sallacapo,1,1,00330,22213,4
01,33,03,007,000,BACNOTAN,Baroro,20,21,00389,22108,4
01,33,06,010,000,BANGAR,General Prim East,1,1,00422,21226,4
01,33,06,011,000,BANGAR,General Prim West,21,19,00422,21226,4
01,33,10,004,000,LUNA,Barrientos,16,18,00457,22227,4
01,33,10,036,000,LUNA,Sucoc Norte,0,1,00457,22227,4
01,33,11,008,000,NAGUILIAN,Bancagan,17,17,00463,23115,4
01,33,11,018,000,NAGUILIAN,Daramuangan,1,1,00463,23115,4
01,33,14,059,003,CITY OF SAN FERNANDO (Capital),Tanqui,19,17,00498,21104,4
01,33,17,020,000,SANTO TOMAS,Pongpong,18,18,00531,23232,4
01,55,06,022,000,ASINGAN,Toboy,18,19,00618,23229,4
01,55,07,020,000,BALUNGAO,San Raymundo,17,18,00627,25214,4
01,55,10,013,000,BAUTISTA,Poblacion West,18,16,00656,26121,4
01,55,12,015,003,BINALONAN,Poblacion,20,16,00698,21115,4
01,55,13,011,000,BINMALEY,Caloocan Sur,14,16,00704,24114,4
01,55,15,010,000,BUGALLON,Hacienda,17,17,00738,27317,4
01,55,17,017,002,CALASIAO,Nalsian,17,17,00764,21226,4
01,55,17,020,000,CALASIAO,Quesban,15,17,00768,21327,4
01,55,23,014,000,MABINI,Nibaliw,18,20,00833,27205,4
01,55,25,007,000,MANAOAG,Bucao,19,21,00866,24328,4
01,55,26,003,001,MANGALDAN,Anolid,22,22,00889,25125,4
01,55,28,004,000,MAPANDAN,Baloling,17,17,00922,23324,4
01,55,31,013,000,ROSALES,Coliling,18,19,00957,25321,4
01,55,32,053,000,SAN CARLOS CITY,Matagdem,17,17,01002,26203,4
01,55,32,074,000,SAN CARLOS CITY,Quintong,18,18,00987,23110,4
01,55,35,013,000,SAN MANUEL,San Bonifacio,17,18,01040,26310,4
01,55,38,021,000,SANTA BARBARA,Poblacion Norte,17,17,01069,24223,4
01,55,39,004,000,SANTA MARIA,Cal-litang,18,18,01082,22216,4
01,55,43,023,000,TAYUG,Trenchera,22,21,01123,22105,4
01,55,45,001,000,URBIZTONDO,Angatel,19,19,01149,27115,4
01,55,47,003,001,VILLASIS,Barangobong,25,26,01181,22325,4
02,9,02,010,000,ITBAYAT,Santa Rosa (Kaynatuan),19,18,01202,21004,4
02,15,02,006,000,ALCALA,Baybayog,18,20,01222,23309,4
02,15,02,011,000,ALCALA,Centro Sur (Pob.),18,18,01223,23118,4
02,15,02,024,000,ALCALA,Tamban,15,18,01218,24117,4
02,15,03,010,000,ALLACAPAN,Centro East (Pob.),18,20,01227,21207,4
02,15,06,031,001,BAGGAO,Remus,16,16,01271,24217,4
02,15,06,032,000,BAGGAO,San Antonio,1,1,01271,24217,4
02,15,11,017,000,CLAVERIA,Centro VII (Malasin East),15,15,01312,22308,4
02,15,22,003,002,SANCHEZ-MIRA,Centro I (Pob.),21,23,01413,22226,4
02,15,26,010,000,SANTO NIÑO (FAIRE),Centro Norte (Pob.),19,19,01430,22111,4
02,15,27,034,000,SOLANA,Furagui,17,19,01448,24324,4
02,15,29,034,003,TUGUEGARAO CITY (Capital),Ugac Norte,17,21,01489,21106,4
02,15,29,045,000,TUGUEGARAO CITY (Capital),Libag Sur,20,17,01471,21303,4
02,31,02,020,000,ANGADANAN,Consular,17,17,01524,25206,4
02,31,02,047,000,ANGADANAN,Salay,1,1,01524,25206,4
02,31,04,007,000,BENITO SOLIVEN,District II (Pob.),18,18,01539,23108,4
02,31,08,044,000,CAUAYAN,Manaoag,20,19,01575,27223,4
02,31,09,006,000,CORDON,Gayong,17,17,01603,23214,4
02,31,14,067,000,ILAGAN (Capital),Osmeña (Sinippil),15,16,01664,21120,4
02,31,15,043,000,JONES,Usol,18,18,01687,22202,4
02,31,19,009,000,MALLIG,Centro II (Pob.),14,14,01704,24111,4
02,31,19,012,000,MALLIG,San Jose Sur,17,18,01703,26209,4
02,31,22,005,001,QUEZON,Barucboc Norte,17,17,01729,27111,4
02,31,26,005,000,ROXAS,Lanting,16,17,01757,25107,4
02,31,27,009,000,SAN AGUSTIN,Masaya Norte,17,17,01774,21206,4
02,31,30,002,000,SAN MANUEL,Babanuang,18,18,01793,26117,4
02,31,30,018,000,SAN MANUEL,Sandiat West,19,18,01791,24219,4
02,31,32,020,001,SAN MATEO,Barangay IV (Pob.),24,22,01821,22122,4
02,31,35,011,003,CITY OF SANTIAGO,Calaocan,17,17,01842,21009,4
02,50,03,014,000,BAGABAG,Tuao North,17,19,01904,21211,4
02,50,04,001,000,BAMBANG,Abian,17,18,01915,22122,4
02,50,04,007,001,BAMBANG,Banggot (Pob.),14,17,01906,21107,4
02,50,11,001,000,QUEZON,Aurora,19,18,01967,22206,4
02,57,03,023,000,DIFFUN,Maria Clara,18,19,02015,22018,4
02,57,06,011,001,NAGTIPUNAN,San Dionisio II,13,14,02038,21009,4
03,8,01,003,002,ABUCAY,Capitangan,18,18,02043,21103,4
03,8,05,006,000,HERMOSA,Burgos-Soliman (Pob.),14,16,02099,21225,4
03,8,05,009,000,HERMOSA,Daungan (Pob.),2,2,02099,21225,4
03,8,05,021,000,HERMOSA,Sumalo,15,18,02095,22113,4
03,8,08,004,001,MORONG,Poblacion,17,16,02131,22209,4
03,14,03,019,002,BALIUAG,Santa Barbara,18,18,02202,21114,4
03,14,04,004,000,BOCAUE,Batia,19,19,02216,21309,4
03,14,05,005,000,BULACAN,Maysantol,16,18,02233,23213,4
03,14,10,025,003,MALOLOS (Capital),Longos,16,20,02315,22210,4
03,14,10,029,002,MALOLOS (Capital),Mabolo,15,19,02318,21209,4
03,14,10,053,002,MALOLOS (Capital),Sumapang Matanda,19,22,02328,23217,4
03,14,11,005,001,MARILAO,Lias,14,15,02343,24125,4
03,14,11,006,006,MARILAO,Loma de Gato,18,18,02344,23308,4
03,14,12,015,003,MEYCAUAYAN,Malhacan,13,17,02365,23103,4
03,14,12,016,000,MEYCAUAYAN,Pajo,22,23,02366,22102,4
03,14,15,006,000,PANDI,Cacarong Bata,19,19,02400,24223,4
03,14,18,008,000,PULILAN,Dulong Malabon,17,17,02436,22211,4
03,14,20,004,008,SAN JOSE DEL MONTE,Kaypian,21,22,02473,22321,4
03,14,20,033,002,SAN JOSE DEL MONTE,Gumaoc East,17,17,02494,21229,4
03,14,21,006,000,SAN MIGUEL,Bardias,16,16,02539,24323,4
03,14,21,059,001,SAN MIGUEL,Tigpalas,16,16,02538,24219,4
03,49,01,038,000,ALIAGA,Santo Rosario,15,15,02603,23230,4
03,49,05,004,002,CARRANGLAN,Bunga,18,19,02697,26210,4
03,49,06,043,001,CUYAPO,San Antonio,22,22,02706,25217,4
03,49,07,008,001,GABALDON (BITULOK & SABANI),Cuyapa,14,16,02726,25117,4
03,49,08,001,000,GAPAN,Bayanihan,19,21,02734,22117,4
03,49,08,022,000,GAPAN,Maburak,14,15,02729,23121,4
03,49,12,003,000,JAEN,Hilera,17,17,02794,24137,4
03,49,14,009,001,LICAB,Santa Maria,16,16,02818,26132,4
03,49,19,003,001,PALAYAN CITY (Capital),Bo. Militar (Fort Magsaysay),16,18,02865,21201,4
03,49,21,013,001,PEÑARANDA,Sinasajan,5,5,02882,24224,4
03,49,25,002,002,SAN ISIDRO,Calaba,13,18,02928,21132,4
03,49,26,006,003,SAN JOSE CITY,Calaocan,14,12,02940,22202,4
03,54,01,003,014,ANGELES CITY,Balibago,4,4,03043,10005,4
03,54,01,026,002,ANGELES CITY,Santa Trinidad,17,14,03062,21005,4
03,54,01,028,006,ANGELES CITY,Santo Domingo,13,11,03064,22010,4
03,54,02,012,004,APALIT,San Vicente,13,13,03078,22114,4
03,54,06,021,001,FLORIDABLANCA,Pandaguirig,20,19,03134,23216,4
03,54,08,010,002,LUBAO,Lourdes (Lauc Pau),30,27,03173,25126,4
03,54,09,008,017,MABALACAT,Dau,7,8,03200,10003,4
03,54,09,011,003,MABALACAT,Lakandula,17,17,03202,24116,4
03,54,09,012,002,MABALACAT,Mabiga,18,19,03203,21117,4
03,54,10,009,000,MACABEBE,San Francisco,19,18,03228,21223,4
03,54,11,026,000,MAGALANG,Turu,16,17,03239,25230,4
03,54,16,032,002,SAN FERNANDO (Capital),Santa Lucia,17,20,03326,23103,4
03,54,18,011,002,SAN SIMON,San Pedro,14,16,03345,24202,4
03,54,21,006,003,SANTO TOMAS,San Matias,16,18,03371,22207,4
03,69,04,001,002,CAPAS,Aranguren,7,7,03411,10007,4
03,69,05,037,000,CONCEPCION,Santo Niño,18,18,03445,22238,4
03,69,06,011,000,GERONA,Cardona,16,17,03454,22338,4
03,69,10,003,000,PANIQUI,Aduas,17,18,03516,23225,4
03,69,11,004,002,PURA,Estipona,12,13,03531,22115,4
03,69,14,006,000,SAN MANUEL,Pacpaco,19,19,03545,23126,4
03,69,16,012,002,CITY OF TARLAC (Capital),Balingcanaway,17,17,03568,21203,4
03,69,16,052,004,CITY OF TARLAC (Capital),Matatalaib,15,14,03580,21108,4
03,71,07,017,001,OLONGAPO CITY,Pag-asa,16,16,03698,21005,4
03,71,12,014,000,SAN NARCISO,San Pascual (Pob.),18,18,03742,21027,4
03,71,13,004,000,SANTA CRUZ,Bayto,15,16,03745,22011,4
03,71,13,028,000,SANTA CRUZ,Tubotubo North,16,16,03752,23017,4
03,77,02,013,000,CASIGURAN,Dibet,15,15,03776,21049,4
05,5,02,021,000,CAMALIG,Libod,18,19,06285,21326,4
05,5,03,022,000,DARAGA (LOCSIN),Ilawod Area Pob. (Dist. 2),19,20,06306,21209,4
